NUV1_5DAY,NUV1_5DAYWater,NUV2_5DAY,NUV2_5DAYWater,NUV3_5DAY,NUV3_5DAYWater,NUV4_5DAY,NUV4_5DAYWater,NUV5_5DAY,NUV5_5DAYWater,NUV6_5DAY,NUV6_5DAYWater,NUV7_5DAY,NUV7_5DAYWater,NUV8_5DAY,NUV8_5DAYWater,NUV9_5DAY,NUV9_5DAYWAter
1.42,2.59,3.17,5.18,1.51,4.59,2.78,4.98,2.49,4.64,1.12,2.29,1.46,2.05,1.71,4.74,1.27,4.44
1.42,2.59,3.22,5.18,1.46,4.44,2.78,4.98,2.39,4.59,1.07,2.29,1.46,2.05,1.9,4.88,1.22,4.49
1.42,2.64,2.98,5.13,1.42,4.49,2.64,4.83,2.39,4.59,1.12,2.29,1.46,2.05,1.76,4.79,1.22,4.39
1.46,2.64,2.98,5.08,1.46,4.49,2.98,4.83,2.44,4.69,1.12,2.25,1.51,2.25,1.86,4.74,1.12,4.44
1.46,2.64,2.98,4.88,1.51,4.69,3.03,4.88,2.44,4.69,1.12,2.2,1.61,2.54,1.81,4.74,1.22,4.39
1.51,2.73,2.93,4.83,1.56,4.74,3.37,4.88,2.44,4.74,1.07,2.2,1.61,2.49,1.9,4.74,1.17,4.39
1.51,2.73,2.98,4.83,1.61,4.69,3.32,4.83,2.44,4.74,1.03,2.2,1.61,2.54,2,4.74,1.17,4.44
1.61,2.73,3.13,5.03,1.61,4.69,3.27,4.79,2.49,4.79,1.07,2.2,1.61,2.54,2.05,4.69,1.22,4.44
1.56,2.78,3.13,5.03,1.61,4.83,3.22,4.74,2.44,4.74,1.12,2.2,1.61,2.54,0.88,0.59,1.22,4.39
1.61,2.73,3.13,4.98,1.61,4.88,3.17,4.69,2.44,4.74,1.12,2.25,1.61,2.54,4.74,4.35,1.22,4.44
1.498,2.68,3.063,5.015,1.536,4.653,3.056,4.843,2.44,4.695,1.096,2.237,1.555,2.359,2.061,4.3,1.205,4.425
,0.558955224,,0.610767697,,0.330109607,,0.631013834,,0.51970181,,0.489941886,,0.659177618,,0.479302326,,0.272316384
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.487595186,,,,,,,
,,,,,,,,,,0.124532629,,,,,,,
