UV1_5DAY,UV1_5DAYWater,UV2_5DAY,UV2_5DAYWater,UV3_5DAY,UV3_5DAYWAter,UV4_5DAY,UV4_5DAYWater,UV5_5DAY,UV5_5DAYWater,UV6_5DAY,UV6_5DAYWater,UV7_5DAY,UV7_5DAYWater,UV8_5DAY,UV8_5DAYWater,UV9_5DAY,UV9_5DAYWater
2.05,3.56,1.66,4.88,1.07,2.54,1.51,2.39,0.78,2.34,1.61,2.54,1.61,2.78,1.42,2.73,1.03,2.39
2.05,3.52,1.81,5.18,1.03,2.59,1.51,2.39,0.78,2.39,1.66,2.49,1.56,2.73,1.46,2.69,1.03,2.34
2,3.56,1.9,5.47,1.07,2.69,1.51,2.39,0.78,2.39,1.61,2.54,1.61,2.69,1.42,2.69,0.98,2.34
1.9,3.42,2.2,5.96,1.07,2.64,1.51,2.44,0.78,2.34,1.61,2.54,1.56,2.69,1.46,2.73,0.93,2.34
1.9,3.37,2.39,6.64,1.12,2.73,1.51,2.34,0.78,2.39,1.56,2.54,1.56,2.69,1.46,2.78,0.98,2.34
1.95,3.37,2.25,6.2,1.17,2.73,1.46,2.34,0.83,2.34,1.61,2.54,1.56,2.64,1.42,2.83,0.98,2.34
1.81,3.32,2.44,6.69,1.22,2.83,1.51,2.34,0.83,2.44,1.61,2.54,1.56,2.64,1.51,2.78,1.03,2.29
1.81,3.32,2.44,6.84,1.22,3.03,1.46,2.34,0.83,2.39,1.61,2.54,1.51,2.69,1.51,2.78,0.98,2.29
1.81,3.27,2.49,6.93,1.37,3.17,1.46,2.34,0.83,2.39,1.61,2.54,1.51,2.59,1.46,2.88,0.98,2.34
1.86,3.32,2.64,7.13,1.42,3.32,1.42,2.34,0.83,2.44,1.66,2.54,1.51,2.64,1.51,2.78,0.93,2.39
1.914,3.403,2.407142857,6.627142857,1.176,2.827,1.486,2.365,0.805,2.385,1.615,2.535,1.555,2.678,1.463,2.767,0.985,2.34
,0.562444902,,0.363224833,,0.415988681,,0.62832981,,0.337526205,,0.637080868,,0.580657207,,0.528731478,,0.420940171
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,0.48496606,,,,,,,,
,,,,,,,,,0.10792684,,,,,,,,
